-357.58212 70.04782 -7.9658594 7.537593 7.532101 21.272562 13.687002 15.736561 13.964831 12.493294 1.0134434 -5.8117766 1.5016311 7.34347 24.471216 28.189297 26.970604 19.512772 8.240287 1.6844652,7
-318.09433 105.42601 -28.106802 -4.7756906 8.841042 -13.294546 -16.179089 -12.424173 -7.2761745 -7.600028 -11.327285 -7.274156 -9.672895 -12.360111 -4.4347906 -3.1327884 7.304487 24.675432 30.664898 38.79618,5
-362.35364 28.712673 0.98611116 11.131845 21.617247 33.925274 25.7769 17.912174 3.9065597 7.2536592 4.6663775 13.597488 14.481164 6.9584336 12.8951 26.507141 24.783115 14.086048 2.1364927 3.739473,7
-327.3179 50.211533 -37.672382 -11.64847 -19.341696 23.906792 30.3456 36.42751 8.897218 -15.390402 -14.619713 2.612975 31.118822 24.070677 2.7296271 -8.453496 1.7977867 17.44488 20.997387 36.958675,7
-251.57707 173.31966 -34.46587 -34.72835 18.609676 54.2857 1.1294229 -11.950529 -8.453481 2.5205407 12.503571 11.1302185 10.620429 -13.004071 -4.358387 -0.79492253 -2.3240492 2.5535872 14.632876 9.211604,3
-225.45071 77.605354 -25.13495 19.144106 -3.2821357 6.107278 10.06574 26.5558 24.167034 22.174095 -2.0593753 -20.960577 -6.7841597 5.9121594 30.925657 17.553679 -11.911855 -1.4926015 13.247026 11.254715,6
-320.16284 195.08086 69.6681 39.17129 33.00552 29.817558 5.9126124 -4.0115776 0.044152036 6.785333 4.1077056 -1.3504591 -3.9132183 -4.3023233 -5.6096354 -9.294997 -8.817717 -6.2399216 -2.551803 -0.34707546,0
-252.55986 73.83306 -19.505112 19.475996 11.199752 8.921893 4.356239 8.969286 7.1283283 18.950857 26.221817 27.478941 18.333456 0.495365 -20.23807 -19.063755 3.2453802 21.24406 17.153831 4.5438704,6
-337.52524 30.697668 -70.754715 -52.61461 -34.43918 -8.493974 16.339016 32.193356 28.192307 18.690441 -10.730435 -32.720493 2.0274272 37.30056 33.657894 3.7976153 -19.190512 -11.559008 5.9721713 -3.8008757,2
-369.0561 51.122356 -48.629147 -22.237005 3.2559285 -5.322167 -1.183068 16.055254 35.116505 39.215298 18.030355 -8.067436 -23.175999 -13.7012205 16.489832 30.227398 23.066412 10.403714 5.560023 6.807673,5
-220.86879 127.58991 -48.196304 8.857169 15.938004 6.223774 -16.506643 -9.827544 -7.092682 -5.6147165 -26.59648 -21.066673 -11.542415 -5.914685 -1.3346894 -4.951989 -4.263013 -1.6740774 28.410196 39.218678,2
-329.98572 153.06642 -0.036114007 -25.413872 10.467757 13.994831 4.9685283 3.8026168 -0.8366367 -5.572248 -2.8651752 -1.4163964 -7.755082 -11.56243 -6.046288 -0.34806716 -0.076727346 0.2195116 1.0115207 -1.2419426,3
-253.96423 94.52022 -87.980316 -16.617937 -2.9844737 -13.166115 16.880533 26.255404 15.435556 37.54738 27.375105 0.108801 -17.334082 -14.014422 11.9010725 22.76842 25.412365 14.974898 8.42263 -1.5360018,2
-287.36258 89.2618 -25.853605 33.34894 2.4850214 0.57460356 -14.344315 -8.334711 -5.62957 -7.131617 -17.37445 -10.214364 -13.987438 -9.6884365 -1.0240101 -4.9839964 -3.2075434 18.196507 35.33869 39.420506,1
